html_url,language,n-contributors,right.html_url,right.language,size,owner,stargazers_count
https://github.com/tonsky/FiraCode,Clojure,123,https://github.com/tonsky/FiraCode,Clojure,88621,tonsky,73546
https://github.com/metabase/metabase,Clojure,417,https://github.com/metabase/metabase,Clojure,444003,metabase,35046
https://github.com/logseq/logseq,Clojure,282,https://github.com/logseq/logseq,Clojure,110199,logseq,26838
https://github.com/penpot/penpot,Clojure,166,https://github.com/penpot/penpot,Clojure,119515,penpot,24400
https://github.com/LightTable/LightTable,Clojure,98,https://github.com/LightTable/LightTable,Clojure,19648,LightTable,11732
https://github.com/clojure/clojurescript,Clojure,228,https://github.com/clojure/clojurescript,Clojure,18438,clojure,9145
https://github.com/technomancy/leiningen,Clojure,474,https://github.com/technomancy/leiningen,Clojure,7183,technomancy,7304
https://github.com/omcljs/om,Clojure,23,https://github.com/omcljs/om,Clojure,2181,omcljs,6662
https://github.com/jepsen-io/jepsen,Clojure,138,https://github.com/jepsen-io/jepsen,Clojure,46770,jepsen-io,6390
https://github.com/athensresearch/athens,Clojure,86,https://github.com/athensresearch/athens,Clojure,78287,athensresearch,6331
https://github.com/overtone/overtone,Clojure,85,https://github.com/overtone/overtone,Clojure,8808,overtone,5729
https://github.com/day8/re-frame,Clojure,217,https://github.com/day8/re-frame,Clojure,68317,day8,5345
https://github.com/tonsky/datascript,Clojure,71,https://github.com/tonsky/datascript,Clojure,1808,tonsky,5248
https://github.com/reagent-project/reagent,Clojure,92,https://github.com/reagent-project/reagent,Clojure,3979,reagent-project,4686
https://github.com/riemann/riemann,Clojure,182,https://github.com/riemann/riemann,Clojure,7531,riemann,4186
https://github.com/weavejester/compojure,Clojure,49,https://github.com/weavejester/compojure,Clojure,5863,weavejester,4043
https://github.com/status-im/status-mobile,Clojure,331,https://github.com/status-im/status-mobile,Clojure,490087,status-im,3746
https://github.com/functional-koans/clojure-koans,Clojure,70,https://github.com/functional-koans/clojure-koans,Clojure,282,functional-koans,3696
https://github.com/ring-clojure/ring,Clojure,159,https://github.com/ring-clojure/ring,Clojure,7309,ring-clojure,3661
https://github.com/babashka/babashka,Clojure,118,https://github.com/babashka/babashka,Clojure,11154,babashka,3632
https://github.com/swannodette/mori,Clojure,24,https://github.com/swannodette/mori,Clojure,1643,swannodette,3388
https://github.com/magomimmo/modern-cljs,Clojure,86,https://github.com/magomimmo/modern-cljs,Clojure,34172,magomimmo,2928
https://github.com/quil/quil,Clojure,58,https://github.com/quil/quil,Clojure,10385,quil,2903
https://github.com/bhauman/lein-figwheel,Clojure,105,https://github.com/bhauman/lein-figwheel,Clojure,3739,bhauman,2885
https://github.com/swarmpit/swarmpit,Clojure,21,https://github.com/swarmpit/swarmpit,Clojure,6845,swarmpit,2805
https://github.com/Engelberg/instaparse,Clojure,30,https://github.com/Engelberg/instaparse,Clojure,1174,Engelberg,2676
https://github.com/pedestal/pedestal,Clojure,123,https://github.com/pedestal/pedestal,Clojure,5273,pedestal,2626
https://github.com/razum2um/awesome-clojure,Clojure,124,https://github.com/razum2um/awesome-clojure,Clojure,205,razum2um,2603
https://github.com/weavejester/hiccup,Clojure,40,https://github.com/weavejester/hiccup,Clojure,464,weavejester,2587
https://github.com/clojure-cookbook/clojure-cookbook,Clojure,124,https://github.com/clojure-cookbook/clojure-cookbook,Clojure,11402,clojure-cookbook,2553
https://github.com/clj-commons/aleph,Clojure,104,https://github.com/clj-commons/aleph,Clojure,3426,clj-commons,2495
https://github.com/redplanetlabs/specter,Clojure,26,https://github.com/redplanetlabs/specter,Clojure,1978,redplanetlabs,2471
https://github.com/xtdb/xtdb,Clojure,82,https://github.com/xtdb/xtdb,Clojure,206716,xtdb,2384
https://github.com/plumatic/schema,Clojure,81,https://github.com/plumatic/schema,Clojure,3280,plumatic,2382
https://github.com/jepsen-io/maelstrom,Clojure,34,https://github.com/jepsen-io/maelstrom,Clojure,1233,jepsen-io,2305
https://github.com/incanter/incanter,Clojure,133,https://github.com/incanter/incanter,Clojure,42571,incanter,2220
https://github.com/thheller/shadow-cljs,Clojure,62,https://github.com/thheller/shadow-cljs,Clojure,8604,thheller,2159
https://github.com/onyx-platform/onyx,Clojure,65,https://github.com/onyx-platform/onyx,Clojure,17013,onyx-platform,2046
https://github.com/clojure/core.async,Clojure,41,https://github.com/clojure/core.async,Clojure,1474,clojure,1923
https://github.com/anmonteiro/lumo,Clojure,24,https://github.com/anmonteiro/lumo,Clojure,20392,anmonteiro,1888
https://github.com/walmartlabs/lacinia,Clojure,71,https://github.com/walmartlabs/lacinia,Clojure,3617,walmartlabs,1791
