language,html_url,date,committer,commits
Python,https://github.com/nchammas/flintrock,2015-03-12,rank-0,1.0
Python,https://github.com/nchammas/flintrock,2015-03-15,rank-0,5.0
Python,https://github.com/nchammas/flintrock,2015-03-19,rank-0,9.0
Python,https://github.com/nchammas/flintrock,2015-03-23,rank-0,12.0
Python,https://github.com/nchammas/flintrock,2015-03-24,rank-0,13.0
Python,https://github.com/nchammas/flintrock,2015-04-01,rank-0,14.0
Python,https://github.com/nchammas/flintrock,2015-04-05,rank-0,17.0
Python,https://github.com/nchammas/flintrock,2015-04-06,rank-0,19.0
Python,https://github.com/nchammas/flintrock,2015-04-09,rank-0,21.0
Python,https://github.com/nchammas/flintrock,2015-04-10,rank-0,25.0
Python,https://github.com/nchammas/flintrock,2015-04-13,rank-0,26.0
Python,https://github.com/nchammas/flintrock,2015-04-14,rank-0,27.0
Python,https://github.com/nchammas/flintrock,2015-04-15,rank-0,28.0
Python,https://github.com/nchammas/flintrock,2015-04-20,rank-0,30.0
Python,https://github.com/nchammas/flintrock,2015-04-22,rank-0,32.0
Python,https://github.com/nchammas/flintrock,2015-04-24,rank-0,33.0
Python,https://github.com/nchammas/flintrock,2015-04-26,rank-0,39.0
Python,https://github.com/nchammas/flintrock,2015-04-27,rank-0,40.0
Python,https://github.com/nchammas/flintrock,2015-05-06,rank-0,43.0
Python,https://github.com/nchammas/flintrock,2015-05-10,rank-0,47.0
Python,https://github.com/nchammas/flintrock,2015-05-14,rank-0,48.0
Python,https://github.com/nchammas/flintrock,2015-05-20,rank-0,49.0
Python,https://github.com/nchammas/flintrock,2015-05-26,rank-0,50.0
Python,https://github.com/nchammas/flintrock,2015-05-29,rank-0,51.0
Python,https://github.com/nchammas/flintrock,2015-05-31,rank-0,54.0
Python,https://github.com/nchammas/flintrock,2015-06-04,rank-0,56.0
Python,https://github.com/nchammas/flintrock,2015-07-07,rank-0,59.0
Python,https://github.com/nchammas/flintrock,2015-07-30,rank-0,60.0
Python,https://github.com/nchammas/flintrock,2015-07-31,rank-0,62.0
Python,https://github.com/nchammas/flintrock,2015-08-02,rank-0,64.0
Python,https://github.com/nchammas/flintrock,2015-08-04,rank-0,67.0
Python,https://github.com/nchammas/flintrock,2015-08-14,rank-0,68.0
Python,https://github.com/nchammas/flintrock,2015-08-19,rank-0,69.0
Python,https://github.com/nchammas/flintrock,2015-08-20,rank-0,73.0
Python,https://github.com/nchammas/flintrock,2015-10-04,rank-0,80.0
Python,https://github.com/nchammas/flintrock,2015-10-06,rank-0,83.0
Python,https://github.com/nchammas/flintrock,2015-10-07,rank-0,86.0
Python,https://github.com/nchammas/flintrock,2015-10-13,rank-0,88.0
Python,https://github.com/nchammas/flintrock,2015-10-14,rank-0,89.0
Python,https://github.com/nchammas/flintrock,2015-10-15,rank-0,90.0
Python,https://github.com/nchammas/flintrock,2015-10-16,rank-0,94.0
Python,https://github.com/nchammas/flintrock,2015-10-17,rank-0,97.0
Python,https://github.com/nchammas/flintrock,2015-10-19,rank-0,98.0
Python,https://github.com/nchammas/flintrock,2015-10-20,rank-0,99.0
Python,https://github.com/nchammas/flintrock,2015-10-22,rank-0,100.0
