count,left,right
27,1.0,4.359999999999999
29,4.359999999999999,7.72
42,7.72,11.08
28,11.08,14.44
26,14.44,17.8
49,17.8,21.16
31,21.16,24.52
36,24.52,27.88
38,27.88,31.24
27,31.24,34.6
15,34.6,37.96
30,37.96,41.32
16,41.32,44.68
28,44.68,48.04
22,48.04,51.4
26,51.4,54.76
36,54.76,58.12
30,58.12,61.48
27,61.48,64.84
37,64.84,68.2
31,68.2,71.56
33,71.56,74.92
35,74.92,78.28
30,78.28,81.64
30,81.64,85.0
36,85.0,88.36
31,88.36,91.72
31,91.72,95.08
28,95.08,98.44
23,98.44,101.8
45,101.8,105.16
25,105.16,108.52
25,108.52,111.88
29,111.88,115.24
31,115.24,118.6
12,118.6,121.96
27,121.96,125.32
19,125.32,128.68
38,128.68,132.04
13,132.04,135.4
25,135.4,138.76
25,138.76,142.12
26,142.12,145.48
17,145.48,148.84
34,148.84,152.2
18,152.2,155.56
22,155.56,158.92
23,158.92,162.28
27,162.28,165.64
24,165.64,169.0
33,169.0,172.35999999999999
19,172.35999999999999,175.72
25,175.72,179.07999999999998
20,179.07999999999998,182.44
17,182.44,185.79999999999998
30,185.79999999999998,189.16
23,189.16,192.51999999999998
29,192.51999999999998,195.88
9,195.88,199.23999999999998
18,199.23999999999998,202.6
21,202.6,205.95999999999998
31,205.95999999999998,209.32
12,209.32,212.67999999999998
39,212.67999999999998,216.04
19,216.04,219.4
29,219.4,222.76
21,222.76,226.12
22,226.12,229.48
15,229.48,232.84
31,232.84,236.2
18,236.2,239.56
28,239.56,242.92
19,242.92,246.28
23,246.28,249.64
27,249.64,253.0
21,253.0,256.36
19,256.36,259.71999999999997
25,259.71999999999997,263.08
15,263.08,266.44
20,266.44,269.8
37,269.8,273.15999999999997
26,273.15999999999997,276.52
26,276.52,279.88
35,279.88,283.24
17,283.24,286.59999999999997
16,286.59999999999997,289.96
39,289.96,293.32
19,293.32,296.68
31,296.68,300.03999999999996
25,300.03999999999996,303.4
23,303.4,306.76
30,306.76,310.12
29,310.12,313.47999999999996
14,313.47999999999996,316.84
34,316.84,320.2
15,320.2,323.56
27,323.56,326.92
27,326.92,330.28
31,330.28,333.64
17,333.64,337.0
