language,html_url,total-commits,total-other-commits
Clojure,https://github.com/ingesolvoll/kee-frame,592.0,11.0
Clojure,https://github.com/yqrashawn/GokuRakuJoudo,232.0,29.0
Clojure,https://github.com/metosin/compojure-api,1906.0,114.0
Clojure,https://github.com/clojure-android/lein-droid,412.0,16.0
Clojure,https://github.com/clojure-cookbook/clojure-cookbook,1973.0,758.0
Python,https://github.com/bslatkin/dpxdt,1308.0,112.0
Clojure,https://github.com/twosigma/Cook,2204.0,924.0
Python,https://github.com/tobami/codespeed,2144.0,404.0
Clojure,https://github.com/adamtornhill/code-maat,365.0,25.0
Python,https://github.com/adobe/brackets-shell,1666.0,662.0
Python,https://github.com/cisagov/pshtt,1454.0,538.0
Clojure,https://github.com/jonase/eastwood,1367.0,72.0
Python,https://github.com/cloudant/bigcouch,2933.0,1206.0
Clojure,https://github.com/funcool/buddy,479.0,15.0
Python,https://github.com/EnigmaCurry/blogofile,531.0,39.0
Clojure,https://github.com/dakrone/cheshire,528.0,91.0
Python,https://github.com/hyperspy/hyperspy,14696.0,5303.0
Clojure,https://github.com/michaelklishin/monger,1308.0,137.0
Clojure,https://github.com/wilkerlucio/pathom,1997.0,81.0
Clojure,https://github.com/day8/re-frame-10x,1479.0,289.0
Clojure,https://github.com/zero-one-group/geni,317.0,13.0
Clojure,https://github.com/incanter/incanter,1595.0,569.0
Python,https://github.com/benedekrozemberczki/littleballoffur,1439.0,3.0
Python,https://github.com/llimllib/limbo,410.0,21.0
Clojure,https://github.com/boot-clj/boot-cljs,446.0,30.0
Clojure,https://github.com/weavejester/cljfmt,513.0,57.0
Clojure,https://github.com/thheller/shadow-grove,329.0,1.0
Clojure,https://github.com/gorillalabs/sparkling,663.0,223.0
Clojure,https://github.com/alexander-yakushev/compliment,343.0,26.0
Clojure,https://github.com/phillord/tawny-owl,988.0,24.0
Python,https://github.com/dthpham/sminterpolate,324.0,1.0
Clojure,https://github.com/yogthos/markdown-clj,514.0,75.0
Python,https://github.com/theskumar/python-dotenv,356.0,123.0
Python,https://github.com/maxtepkeev/python-redmine,638.0,23.0
Clojure,https://github.com/penpot/penpot,11659.0,1760.0
Clojure,https://github.com/mage2tv/magento-cache-clean,460.0,4.0
Python,https://github.com/mqingyn/torngas,356.0,1.0
Python,https://github.com/mcedit/mcedit2,2950.0,4.0
Python,https://github.com/owtf/owtf,2203.0,791.0
Python,https://github.com/coleifer/huey,986.0,92.0
Python,https://github.com/timkpaine/pyEX,852.0,7.0
Clojure,https://github.com/Factual/drake,486.0,125.0
Clojure,https://github.com/discljord/discljord,942.0,14.0
Python,https://github.com/stephenmcd/mezzanine,5304.0,1308.0
Clojure,https://github.com/noir-clojure/lib-noir,361.0,28.0
Python,https://github.com/persepolisdm/persepolis,1299.0,141.0
Python,https://github.com/vstconsulting/polemarch,5444.0,256.0
Clojure,https://github.com/ring-clojure/ring,1191.0,214.0
Clojure,https://github.com/metosin/ring-swagger,1001.0,63.0
Python,https://github.com/flatcar/Flatcar,247.0,61.0
Python,https://github.com/w3c/trace-context,267.0,135.0
Clojure,https://github.com/dundalek/closh,734.0,22.0
Python,https://github.com/dj-wasabi/ansible-zabbix-agent,646.0,166.0
Python,https://github.com/datawire/forge,730.0,16.0
Python,https://github.com/crista/exercises-in-programming-style,468.0,42.0
Clojure,https://github.com/PrecursorApp/precursor,3693.0,1.0
Clojure,https://github.com/funcool/cats,1072.0,130.0
Clojure,https://github.com/clj-commons/potemkin,200.0,31.0
Python,https://github.com/atc-project/atomic-threat-coverage,689.0,88.0
Clojure,https://github.com/duct-framework/duct,653.0,14.0
Clojure,https://github.com/FundingCircle/jackdaw,1371.0,776.0
Python,https://github.com/google/mobly,599.0,148.0
Python,https://github.com/chartbeat-labs/textacy,1816.0,43.0
Clojure,https://github.com/LightTable/LightTable,1313.0,364.0
Python,https://github.com/KristianOellegaard/django-hvad,622.0,173.0
Python,https://github.com/Hari-Nagarajan/fairgame,1059.0,306.0
Clojure,https://github.com/michaelklishin/neocons,675.0,28.0
Clojure,https://github.com/andrewmcveigh/cljs-time,386.0,28.0
Clojure,https://github.com/clojure/core.match,941.0,55.0
Python,https://github.com/ossillate-inc/packj,417.0,10.0
Clojure,https://github.com/metosin/malli,2325.0,353.0
Clojure,https://github.com/taoensso/encore,1318.0,16.0
Python,https://github.com/aponxi/sublime-better-coffeescript,337.0,84.0
Clojure,https://github.com/nubank/matcher-combinators,384.0,53.0
Python,https://github.com/betamaxpy/betamax,531.0,56.0
Clojure,https://github.com/taoensso/tower,369.0,7.0
Clojure,https://github.com/funcool/promesa,690.0,48.0
Clojure,https://github.com/cljfx/cljfx,307.0,18.0
Python,https://github.com/whitesmith/hawkpost,1033.0,265.0
Python,https://github.com/arokem/python-matlab-bridge,640.0,82.0
Clojure,https://github.com/mswift42/themecreator,1119.0,3.0
Clojure,https://github.com/mpenet/alia,930.0,32.0
Clojure,https://github.com/trptcolin/reply,593.0,44.0
Clojure,https://github.com/plexus/chestnut,488.0,97.0
Python,https://github.com/Kotti/Kotti,2993.0,697.0
Python,https://github.com/ceph/ceph-deploy,2129.0,695.0
Clojure,https://github.com/generateme/fastmath,291.0,2.0
Python,https://github.com/trustedsec/ptf,1491.0,669.0
Clojure,https://github.com/samsara/samsara,1042.0,5.0
Clojure,https://github.com/clojure-liberator/liberator,406.0,89.0
Python,https://github.com/daid/LegacyCura,4876.0,490.0
Clojure,https://github.com/apa512/clj-rethinkdb,417.0,32.0
Clojure,https://github.com/JulianBirch/cljs-ajax,337.0,121.0
Clojure,https://github.com/technomancy/leiningen,4975.0,1735.0
Clojure,https://github.com/razum2um/awesome-clojure,280.0,150.0
Python,https://github.com/airspeed-velocity/asv,2341.0,314.0
Clojure,https://github.com/tbatchelli/vmfest,401.0,5.0
Python,https://github.com/jazzband/django-categories,1238.0,214.0
Clojure,https://github.com/oakes/Nightlight,541.0,2.0
Clojure,https://github.com/facebookarchive/duckling_old,588.0,202.0
Python,https://github.com/facebookresearch/xformers,706.0,159.0
Python,https://github.com/bread-and-pepper/django-userena,952.0,278.0
Clojure,https://github.com/mhjort/trombi,509.0,6.0
Python,https://github.com/vxgmichel/aioconsole,360.0,23.0
Python,https://github.com/uma-pi1/kge,2648.0,228.0
Clojure,https://github.com/babashka/nbb,1025.0,40.0
Clojure,https://github.com/logseq/logseq,12398.0,4006.0
Clojure,https://github.com/mtgred/netrunner,14015.0,6515.0
